AnimalID,DateTime_Intake,FoundLocation,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,binary_outcome,percent,Health_condition,SexOutcome,WildMammalsOrNot,DaysInShelter
A701223,4,Austin,Stray,Normal,Cat,Intact Female,22,Domestic Cat Breed,Bi color,4,4,Intact Female,22,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A749787,5,Austin,Stray,Normal,Dog,Intact Female,22,Retriever Dog Breed,Bi color,5,4,Intact Female,29,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A669868,12,Austin,Wildlife,Normal,Other,Unknown,30,Bat,Bi color,12,11,Unknown,30,1.0,0.38314176245210724,Healthy,Unknown,Wild Mammals,0-1 days
A710384,8,Austin,Stray,Normal,Dog,Intact Female,243,Herding Dog Breed,Pattern,8,12,Intact Female,248,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A754751,7,Austin,Stray,Normal,Cat,Unknown,91,Domestic Cat Breed,Blue series,7,4,Unknown,95,0.0,0.15552099533437014,Healthy,Unknown,Not Wild Mammals,more than 3 days
A773546,6,Austin,Stray,Normal,Dog,Intact Male,364,Terrier Dog Breed,Bi color,6,6,Neutered Male,368,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A770125,4,Austin,Stray,Normal,Cat,Intact Male,59,Domestic Cat Breed,Pattern,4,2,Neutered Male,63,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A799677,7,Austin,Public Assist,Normal,Dog,Intact Female,198,Terrier Dog Breed,Black,7,12,Intact Female,205,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A755731,8,Austin,Stray,Normal,Cat,Intact Male,91,Domestic Cat Breed,Pattern,8,5,Neutered Male,101,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A736206,10,Austin,Stray,Normal,Cat,Unknown,4,Domestic Cat Breed,Bi color,10,10,Unknown,4,0.0,0.38314176245210724,Healthy,Unknown,Not Wild Mammals,0-1 days
A715106,10,Austin,Owner Surrender,Normal,Cat,Spayed Female,1461,Domestic Cat Breed,Bi color,11,10,Spayed Female,1472,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A778118,10,Austin,Stray,Injured,Dog,Neutered Male,1169,Working Dog Breed,Bi color,10,8,Neutered Male,1169,0.0,0.38314176245210724,Unhealthy,Sterilized,Not Wild Mammals,0-1 days
A759646,10,Austin,Stray,Normal,Dog,Intact Female,1096,Working Dog Breed,Bi color,10,10,Spayed Female,1100,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A668317,12,Austin,Stray,Normal,Cat,Intact Male,83,Domestic Cat Breed,Black,2,9,Neutered Male,154,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A804301,9,Austin,Stray,Normal,Cat,Unknown,31,Domestic Cat Breed,Pattern,9,8,Unknown,31,0.0,0.38314176245210724,Healthy,Unknown,Not Wild Mammals,0-1 days
A729711,6,Austin,Stray,Normal,Cat,Intact Male,53,Domestic Cat Breed,Pattern,6,4,Neutered Male,61,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A678057,5,Austin,Euthanasia Request,Aged,Dog,Spayed Female,5479,Working Dog Breed,Bi color,5,5,Spayed Female,5480,1.0,0.38314176245210724,Healthy,Sterilized,Not Wild Mammals,0-1 days
A689133,9,Austin,Stray,Normal,Cat,Intact Male,62,Domestic Cat Breed,Pattern,10,7,Neutered Male,75,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A683557,7,Austin,Wildlife,Normal,Other,Unknown,30,Bat,Bi color,7,6,Unknown,31,1.0,0.38314176245210724,Healthy,Unknown,Wild Mammals,0-1 days
A796521,6,Austin,Stray,Normal,Dog,Intact Male,61,Working Dog Breed,Pattern,6,4,Neutered Male,65,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A702913,5,Del Valle,Owner Surrender,Normal,Dog,Intact Female,83,Working Dog Breed,Red series,5,2,Spayed Female,89,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A723017,3,Austin,Stray,Normal,Dog,Intact Male,366,Terrier Dog Breed,Bi color,4,3,Neutered Male,378,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A711251,9,Austin,Stray,Sick,Cat,Intact Female,27,Domestic Cat Breed,Pattern,1,8,Intact Female,157,1.0,0.15552099533437014,Unhealthy,Intact,Not Wild Mammals,more than 3 days
A735367,9,Austin,Stray,Normal,Dog,Neutered Male,5114,Terrier Dog Breed,Bi color,9,9,Neutered Male,5114,0.0,0.38314176245210724,Healthy,Sterilized,Not Wild Mammals,0-1 days
A684486,7,Austin,Owner Surrender,Normal,Cat,Intact Female,106,Domestic Cat Breed,Bi color,7,4,Spayed Female,109,0.0,1.1363636363636365,Healthy,Sterilized,Not Wild Mammals,2-3 days
A802904,8,Austin,Stray,Normal,Dog,Neutered Male,2555,Working Dog Breed,Bi color,8,8,Neutered Male,2556,0.0,0.38314176245210724,Healthy,Sterilized,Not Wild Mammals,0-1 days
A762447,11,Austin,Owner Surrender,Normal,Dog,Spayed Female,731,Working Dog Breed,Bi color,11,11,Spayed Female,737,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A726695,5,Austin,Euthanasia Request,Normal,Cat,Intact Female,1827,Domestic Cat Breed,Pattern,6,5,Spayed Female,1871,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A732792,8,Austin,Stray,Normal,Cat,Intact Female,66,Domestic Cat Breed,Pattern,12,6,Spayed Female,1298,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A767669,3,Del Valle,Stray,Normal,Dog,Intact Male,546,Terrier Dog Breed,Bi color,4,9,Neutered Male,600,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A730956,7,Travis,Stray,Normal,Cat,Intact Male,24,Domestic Cat Breed,Pattern,8,6,Neutered Male,70,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A749432,5,Austin,Owner Surrender,Normal,Dog,Neutered Male,1096,Toy Breed,Bi color,5,5,Neutered Male,1098,0.0,1.1363636363636365,Healthy,Sterilized,Not Wild Mammals,2-3 days
A797292,6,Austin,Stray,Normal,Cat,Unknown,15,Domestic Cat Breed,Black,6,5,Unknown,15,0.0,0.38314176245210724,Healthy,Unknown,Not Wild Mammals,0-1 days
A665957,10,Austin,Stray,Sick,Dog,Intact Male,93,Terrier Dog Breed,Bi color,10,7,Intact Male,93,0.0,0.38314176245210724,Unhealthy,Intact,Not Wild Mammals,0-1 days
A761149,10,Travis,Stray,Normal,Dog,Spayed Female,1675,Working Dog Breed,Bi color,11,3,Spayed Female,1678,0.0,1.1363636363636365,Healthy,Sterilized,Not Wild Mammals,2-3 days
A793392,4,Austin,Stray,Normal,Cat,Intact Male,2,Domestic Cat Breed,Bi color,4,4,Intact Male,2,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A460458,5,Travis,Owner Surrender,Normal,Dog,Neutered Male,3687,Toy Breed,Bi color,6,4,Neutered Male,3712,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A805077,9,Manor,Stray,Normal,Cat,Intact Female,62,Domestic Cat Breed,Pattern,10,7,Spayed Female,84,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A769108,3,Austin,Stray,Normal,Cat,Unknown,7,Domestic Cat Breed,Pattern,3,3,Unknown,7,0.0,0.38314176245210724,Healthy,Unknown,Not Wild Mammals,0-1 days
A707067,7,Austin,Stray,Normal,Cat,Intact Female,1461,Domestic Cat Breed,Bi color,7,7,Intact Female,1462,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A802178,8,Manor,Stray,Nursing,Cat,Intact Female,22,Domestic Cat Breed,Black,10,7,Spayed Female,71,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A778484,8,Austin,Stray,Normal,Cat,Intact Female,44,Domestic Cat Breed,Pattern,1,7,Spayed Female,204,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A773049,5,Austin,Public Assist,Normal,Dog,Neutered Male,426,Hound Dong Breed,Brown series,7,3,Neutered Male,481,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A666479,11,Travis,Stray,Normal,Cat,Intact Female,22,Domestic Cat Breed,Bi color,1,10,Spayed Female,88,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A772488,5,Austin,Stray,Normal,Dog,Intact Male,2191,Terrier Dog Breed,Blue series,5,5,Neutered Male,2201,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A586045,12,Austin,Stray,Normal,Dog,Spayed Female,2515,Working Dog Breed,Pattern,12,2,Spayed Female,2516,0.0,0.38314176245210724,Healthy,Sterilized,Not Wild Mammals,0-1 days
A755147,7,Austin,Stray,Normal,Cat,Unknown,15,Domestic Cat Breed,Pattern,7,7,Unknown,15,0.0,0.38314176245210724,Healthy,Unknown,Not Wild Mammals,0-1 days
A767855,3,Austin,Stray,Normal,Dog,Intact Female,730,Terrier Dog Breed,Bi color,3,3,Intact Female,730,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A724564,4,Austin,Stray,Normal,Cat,Intact Male,43,Domestic Cat Breed,Pattern,5,3,Neutered Male,75,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A679931,5,Austin,Stray,Normal,Cat,Intact Female,37,Domestic Cat Breed,Bi color,7,4,Spayed Female,82,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A710295,12,Austin,Stray,Normal,Dog,Neutered Male,481,Terrier Dog Breed,Bi color,12,8,Neutered Male,491,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A812705,1,Austin,Public Assist,Normal,Dog,Neutered Male,730,Toy Breed,Gray,1,1,Neutered Male,734,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A743643,2,Austin,Wildlife,Normal,Other,Unknown,366,Bat,Brown series,2,2,Unknown,367,1.0,0.38314176245210724,Healthy,Unknown,Wild Mammals,0-1 days
A768032,3,Austin,Stray,Normal,Other,Intact Female,365,Rabbit,Bi color,4,3,Intact Female,394,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A701307,4,Austin,Stray,Normal,Cat,Intact Female,730,Domestic Cat Breed,Pattern,5,4,Spayed Female,759,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A810320,12,Austin,Stray,Normal,Dog,Spayed Female,1095,Toy Breed,Bi color,12,12,Spayed Female,1100,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A796889,6,Austin,Stray,Normal,Cat,Intact Female,31,Domestic Cat Breed,Pattern,6,5,Intact Female,34,0.0,1.1363636363636365,Healthy,Intact,Not Wild Mammals,2-3 days
A790566,3,Travis,Stray,Normal,Dog,Intact Male,74,Terrier Dog Breed,Bi color,3,12,Intact Male,77,0.0,1.1363636363636365,Healthy,Intact,Not Wild Mammals,2-3 days
A694252,12,Austin,Owner Surrender,Injured,Cat,Neutered Male,548,Domestic Cat Breed,Pattern,12,6,Neutered Male,554,0.0,0.15552099533437014,Unhealthy,Sterilized,Not Wild Mammals,more than 3 days
A772495,5,Austin,Stray,Normal,Cat,Intact Male,33,Domestic Cat Breed,Pattern,6,4,Neutered Male,67,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A675305,3,Austin,Stray,Sick,Cat,Unknown,730,Domestic Cat Breed,Pattern,3,3,Unknown,730,1.0,0.38314176245210724,Unhealthy,Unknown,Not Wild Mammals,0-1 days
A698286,3,Austin,Wildlife,Normal,Other,Unknown,730,Bat,Brown series,3,3,Unknown,730,1.0,0.38314176245210724,Healthy,Unknown,Wild Mammals,0-1 days
A682431,6,Austin,Stray,Normal,Cat,Unknown,120,Domestic Cat Breed,Pattern,6,2,Unknown,120,1.0,0.38314176245210724,Healthy,Unknown,Not Wild Mammals,0-1 days
A797236,6,Austin,Stray,Injured,Cat,Intact Female,92,Domestic Cat Breed,Pattern,6,3,Intact Female,99,1.0,0.15552099533437014,Unhealthy,Intact,Not Wild Mammals,more than 3 days
A745984,3,Austin,Public Assist,Normal,Dog,Neutered Male,734,Terrier Dog Breed,Bi color,4,3,Neutered Male,737,0.0,1.1363636363636365,Healthy,Sterilized,Not Wild Mammals,2-3 days
A752790,6,Austin,Stray,Normal,Cat,Intact Male,22,Domestic Cat Breed,Pattern,7,6,Intact Male,27,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A743391,2,Austin,Stray,Normal,Cat,Intact Male,22,Domestic Cat Breed,Pattern,3,1,Neutered Male,68,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A699105,3,Austin,Stray,Normal,Dog,Intact Female,77,Terrier Dog Breed,Bi color,3,1,Spayed Female,81,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A681730,7,Outside Jurisdiction,Owner Surrender,Normal,Dog,Neutered Male,391,Working Dog Breed,Bi color,7,6,Neutered Male,401,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A691387,11,Austin,Stray,Normal,Dog,Intact Female,75,Working Dog Breed,Bi color,11,8,Intact Female,79,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A670962,1,Austin,Owner Surrender,Normal,Cat,Intact Female,365,Domestic Cat Breed,Pattern,2,1,Spayed Female,403,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A682618,6,Travis,Euthanasia Request,Normal,Dog,Neutered Male,2008,Herding Dog Breed,Blue series,6,12,Neutered Male,2008,1.0,0.38314176245210724,Healthy,Sterilized,Not Wild Mammals,0-1 days
A704904,6,Pflugerville,Stray,Normal,Cat,Intact Male,22,Domestic Cat Breed,Pattern,6,5,Intact Male,22,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A721222,2,Austin,Owner Surrender,Normal,Cat,Spayed Female,1095,Domestic Cat Breed,Pattern,3,2,Spayed Female,1104,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A677100,4,Travis,Owner Surrender,Normal,Dog,Intact Male,700,Toy Breed,Bi color,5,5,Neutered Male,721,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A755379,8,Austin,Owner Surrender,Normal,Dog,Spayed Female,388,Retriever Dog Breed,Bi color,8,8,Spayed Female,392,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A623497,6,Austin,Stray,Normal,Cat,Neutered Male,796,Domestic Cat Breed,Black,6,3,Neutered Male,809,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A686100,8,Austin,Stray,Normal,Cat,Intact Female,61,Domestic Cat Breed,Pattern,8,6,Spayed Female,65,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A801808,8,Austin,Stray,Normal,Cat,Intact Male,15,Domestic Cat Breed,Pattern,8,7,Intact Male,15,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A731879,7,Austin,Stray,Normal,Dog,Intact Female,1461,Herding Dog Breed,Blue series,8,7,Spayed Female,1467,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A708247,7,Austin,Stray,Aged,Dog,Intact Female,5478,Toy Breed,Gray,7,7,Intact Female,5479,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A765564,1,Austin,Stray,Normal,Dog,Intact Female,729,Terrier Dog Breed,Bi color,1,1,Intact Female,731,0.0,1.1363636363636365,Healthy,Intact,Not Wild Mammals,2-3 days
A783351,10,Austin,Stray,Normal,Dog,Intact Male,183,Hound Dong Breed,Bi color,12,4,Neutered Male,232,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A803729,9,Austin,Stray,Normal,Cat,Intact Male,34,Domestic Cat Breed,Black,10,8,Neutered Male,69,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A729183,6,Austin,Stray,Normal,Cat,Intact Male,366,Domestic Cat Breed,Black,7,6,Neutered Male,383,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A702398,5,Austin,Stray,Normal,Cat,Intact Female,52,Domestic Cat Breed,Pattern,5,3,Intact Female,64,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A691834,11,Del Valle,Stray,Normal,Dog,Intact Female,365,Toy Breed,Bi color,11,11,Spayed Female,369,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A804121,9,Travis,Stray,Sick,Dog,Intact Male,365,Terrier Dog Breed,Brown series,9,9,Intact Male,378,0.0,0.15552099533437014,Unhealthy,Intact,Not Wild Mammals,more than 3 days
A705585,6,Austin,Stray,Normal,Other,Unknown,365,Rabbit,Gray,7,6,Unknown,385,0.0,0.15552099533437014,Healthy,Unknown,Not Wild Mammals,more than 3 days
A709382,8,Travis,Stray,Normal,Cat,Intact Male,122,Domestic Cat Breed,Black,8,4,Intact Male,123,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A797747,6,Austin,Stray,Normal,Cat,Intact Male,61,Domestic Cat Breed,Pattern,6,4,Intact Male,74,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A508549,4,Austin,Stray,Normal,Dog,Spayed Female,3496,Terrier Dog Breed,Bi color,4,9,Spayed Female,3496,0.0,0.38314176245210724,Healthy,Sterilized,Not Wild Mammals,0-1 days
A799632,7,Travis,Stray,Normal,Cat,Intact Female,730,Domestic Cat Breed,Pattern,7,7,Intact Female,734,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A387083,2,Austin,Stray,Normal,Dog,Spayed Female,3353,Retriever Dog Breed,Brown series,2,11,Spayed Female,3364,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A808466,11,Austin,Stray,Injured,Cat,Intact Male,61,Domestic Cat Breed,Bi color,11,9,Intact Male,62,1.0,0.38314176245210724,Unhealthy,Intact,Not Wild Mammals,0-1 days
A733758,8,Austin,Wildlife,Normal,Other,Unknown,366,Procyonidae,Gray,8,8,Unknown,368,1.0,1.1363636363636365,Healthy,Unknown,Not Wild Mammals,2-3 days
A780865,9,Austin,Stray,Normal,Dog,Intact Male,153,Terrier Dog Breed,Black,10,4,Intact Male,171,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A716853,11,Austin,Stray,Normal,Dog,Intact Male,57,Retriever Dog Breed,Gold series,12,10,Intact Male,61,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A673384,2,Austin,Public Assist,Normal,Dog,Intact Male,4383,Toy Breed,Brown series,3,2,Neutered Male,4401,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A720583,2,Austin,Euthanasia Request,Normal,Cat,Intact Male,276,Domestic Cat Breed,Pattern,2,5,Intact Male,276,1.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A733920,8,Austin,Stray,Normal,Cat,Intact Female,122,Domestic Cat Breed,Pattern,8,4,Intact Female,123,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A629747,2,Austin,Owner Surrender,Normal,Dog,Neutered Male,986,Terrier Dog Breed,Pattern,8,6,Neutered Male,1149,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A785404,12,Austin,Stray,Normal,Cat,Intact Male,730,Domestic Cat Breed,Bi color,12,12,Intact Male,734,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A780602,9,Travis,Stray,Normal,Cat,Intact Female,62,Domestic Cat Breed,Pattern,10,7,Intact Female,81,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A669596,12,Austin,Owner Surrender,Normal,Cat,Intact Female,182,Domestic Cat Breed,Blue series,12,6,Intact Female,188,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A808147,11,Austin,Stray,Normal,Dog,Intact Male,1461,Terrier Dog Breed,Pattern,11,11,Neutered Male,1470,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A741189,12,Del Valle,Stray,Normal,Dog,Intact Female,61,Working Dog Breed,Bi color,1,10,Spayed Female,66,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A548112,10,Austin,Public Assist,Normal,Dog,Neutered Male,2149,Terrier Dog Breed,Bi color,11,11,Neutered Male,2167,1.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A749920,5,Austin,Stray,Normal,Cat,Intact Male,30,Domestic Cat Breed,Black,9,4,Neutered Male,150,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A698569,6,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,447,Toy Breed,Bi color,6,3,Spayed Female,448,0.0,0.38314176245210724,Healthy,Sterilized,Not Wild Mammals,0-1 days
A792261,4,Austin,Owner Surrender,Normal,Dog,Neutered Male,1461,Terrier Dog Breed,Bi color,4,4,Neutered Male,1462,0.0,0.38314176245210724,Healthy,Sterilized,Not Wild Mammals,0-1 days
A743919,2,Austin,Stray,Normal,Dog,Intact Male,550,Retriever Dog Breed,Bi color,2,8,Intact Male,557,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A668240,11,Austin,Stray,Normal,Dog,Intact Female,361,Hound Dong Breed,Black,12,12,Spayed Female,366,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A760037,10,Austin,Stray,Normal,Dog,Intact Male,361,Working Dog Breed,Bi color,10,10,Intact Male,365,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A801642,8,Austin,Stray,Normal,Dog,Intact Male,122,Working Dog Breed,Bi color,8,4,Neutered Male,130,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A685960,8,Austin,Stray,Normal,Cat,Intact Male,2,Domestic Cat Breed,Bi color,8,8,Intact Male,6,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A698478,3,Travis,Stray,Normal,Dog,Intact Female,730,Toy Breed,Bi color,4,3,Spayed Female,770,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A724857,4,Austin,Public Assist,Normal,Dog,Intact Male,1462,Working Dog Breed,Bi color,5,4,Intact Male,1475,1.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A597143,7,Austin,Owner Surrender,Normal,Dog,Spayed Female,3652,Toy Breed,White,7,7,Spayed Female,3656,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A793328,4,Austin,Stray,Normal,Dog,Intact Female,730,Retriever Dog Breed,Bi color,10,4,Spayed Female,891,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A673723,3,Austin,Public Assist,Nursing,Other,Intact Female,120,Rabbit,Bi color,3,11,Intact Female,124,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A804000,10,Outside Jurisdiction,Owner Surrender,Normal,Dog,Neutered Male,1487,Terrier Dog Breed,Bi color,10,9,Neutered Male,1496,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A715444,11,Travis,Stray,Normal,Cat,Intact Female,365,Domestic Cat Breed,Bi color,11,11,Intact Female,366,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A800592,7,Austin,Owner Surrender,Normal,Dog,Spayed Female,1095,Working Dog Breed,Bi color,7,7,Spayed Female,1096,0.0,0.38314176245210724,Healthy,Sterilized,Not Wild Mammals,0-1 days
A700106,4,Austin,Owner Surrender,Normal,Cat,Intact Male,365,Domestic Cat Breed,Pattern,4,4,Neutered Male,377,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A730489,7,Austin,Stray,Normal,Dog,Intact Female,731,Toy Breed,Red series,7,7,Intact Female,739,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A793630,4,Austin,Owner Surrender,Normal,Dog,Intact Male,72,Hound Dong Breed,Bi color,4,2,Neutered Male,74,0.0,1.1363636363636365,Healthy,Sterilized,Not Wild Mammals,2-3 days
A747092,4,Austin,Stray,Normal,Cat,Unknown,15,Domestic Cat Breed,Black,4,3,Unknown,15,0.0,0.38314176245210724,Healthy,Unknown,Not Wild Mammals,0-1 days
A765393,1,Austin,Public Assist,Normal,Dog,Intact Male,731,Herding Dog Breed,Pattern,1,1,Intact Male,731,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A765602,9,Austin,Stray,Normal,Dog,Intact Female,954,Working Dog Breed,Bi color,9,1,Intact Female,954,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A677585,4,Austin,Stray,Normal,Cat,Intact Female,6,Domestic Cat Breed,Pattern,4,4,Intact Female,6,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A785683,12,Austin,Owner Surrender,Normal,Other,Intact Female,365,Pig,Bi color,12,12,Intact Female,368,0.0,1.1363636363636365,Healthy,Intact,Not Wild Mammals,2-3 days
A665411,10,Austin,Stray,Normal,Dog,Intact Male,2192,Terrier Dog Breed,Bi color,10,10,Intact Male,2192,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A741565,1,Austin,Wildlife,Normal,Other,Unknown,366,Bat,Brown series,1,1,Unknown,367,1.0,0.38314176245210724,Healthy,Unknown,Wild Mammals,0-1 days
A718813,1,Travis,Stray,Normal,Dog,Intact Male,730,Terrier Dog Breed,Bi color,2,1,Neutered Male,768,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A751209,6,Austin,Stray,Injured,Cat,Intact Female,92,Domestic Cat Breed,Pattern,6,3,Intact Female,92,0.0,0.38314176245210724,Unhealthy,Intact,Not Wild Mammals,0-1 days
A712632,9,Austin,Stray,Normal,Cat,Intact Female,14,Domestic Cat Breed,Bi color,9,9,Intact Female,15,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A759143,9,Austin,Stray,Normal,Cat,Intact Female,27,Domestic Cat Breed,Pattern,10,8,Intact Female,36,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A666489,11,Austin,Stray,Injured,Cat,Intact Female,92,Domestic Cat Breed,Pattern,11,8,Intact Female,95,1.0,1.1363636363636365,Unhealthy,Intact,Not Wild Mammals,2-3 days
A802850,8,Austin,Stray,Normal,Cat,Intact Female,730,Shorthair Cat Breed,Pattern,9,8,Spayed Female,740,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
