AnimalID,DateTime_Intake,FoundLocation,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,binary_outcome,percent,Health_condition,SexOutcome,WildMammalsOrNot,DaysInShelter
A697768,2,Austin,Stray,Normal,Dog,Intact Female,365,Retriever Dog Breed,Black,2,2,Intact Female,365,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A709245,8,Austin,Stray,Normal,Dog,Intact Female,22,Herding Dog Breed,Pattern,9,7,Spayed Female,58,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A782019,10,Austin,Stray,Normal,Dog,Intact Female,183,Retriever Dog Breed,Pattern,3,4,Spayed Female,341,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A583691,10,Austin,Stray,Normal,Dog,Neutered Male,3339,Retriever Dog Breed,Black,10,9,Neutered Male,3341,0.0,1.1363636363636365,Healthy,Sterilized,Not Wild Mammals,2-3 days
A763930,12,Austin,Stray,Sick,Dog,Unknown,44,Terrier Dog Breed,Bi color,12,11,Unknown,44,0.0,0.38314176245210724,Unhealthy,Unknown,Not Wild Mammals,0-1 days
A691637,11,Austin,Stray,Normal,Dog,Intact Male,549,Herding Dog Breed,Blue series,11,5,Neutered Male,567,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A725073,4,Austin,Stray,Normal,Dog,Intact Female,309,Terrier Dog Breed,Bi color,4,6,Spayed Female,312,0.0,1.1363636363636365,Healthy,Sterilized,Not Wild Mammals,2-3 days
A673705,2,Austin,Stray,Normal,Dog,Neutered Male,731,Hound Dong Breed,Brown series,3,2,Neutered Male,738,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A756055,8,Austin,Stray,Normal,Cat,Intact Male,61,Domestic Cat Breed,Pattern,8,6,Neutered Male,65,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A760475,10,Austin,Stray,Normal,Cat,Intact Female,54,Domestic Cat Breed,Bi color,11,8,Intact Female,73,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A707134,7,Austin,Stray,Normal,Cat,Intact Male,91,Domestic Cat Breed,Pattern,7,4,Intact Male,92,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A774081,6,Manor,Stray,Normal,Dog,Intact Female,730,Hound Dong Breed,Pattern,7,6,Spayed Female,779,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A697571,2,Austin,Public Assist,Injured,Dog,Intact Female,337,Terrier Dog Breed,Bi color,2,3,Intact Female,340,1.0,1.1363636363636365,Unhealthy,Intact,Not Wild Mammals,2-3 days
